name,address,icon,userComment,rating,tags,photos
"Jardin des tarots Niki de Saint Phalle garavicchio","Garavicchio, Capalbio, Grosseto, Italie","generic","","","À essayer#Insolite#Musee",""
"Le Cyclop","Le Bois des Pauvres, 91490 Milly-la-Forêt, France","museum","Cyclop Jean Tinguely ","","À essayer#Insolite#Musee",""
"La Panifacture","104 Rue Saint-Maur, 75011 Paris, France","generic","","","À essayer#Boulangerie",""
"Les Fanés","109 Rue de la Réunion, 75020 Paris","restaurant","","","À essayer#Restaurant",""
"Lognes Airfield - Emerainville","77185 Lognes, France","airport","Papa
Batteries de lognes  bunkers","","À essayer#Insolite",""
"Rosa Bonheur sur Seine","Quai d'Orsay, 75007 Paris, France","restaurant","","","À essayer#Bar",""
"Le Comptoir Général","84 Quai de Jemmapes, Paris 75010","restaurant","","","Bar",""
"Le passage à niveau","2A Rue de l'Ourcq, 75019 Paris, France","restaurant","","","Bar#Restaurant#Tiptop",""
"The People Paris Nation","28 Bis Place de la Nation, 75012 Paris, France","lodging","","","Rooftop",""
"Pagoda Paris","48 Rue de Courcelles, 75008 Paris, France","generic","","","À essayer#Insolite#Monument",""
"Église-Cloître des Billettes","24 Rue des Archives, 75004 Paris, France","generic","","","Insolite#Monument",""
"Immeuble cathédrale de la rue Réaumur","61 Rue Réaumur, 75002 Paris, France","generic","","","À essayer#Insolite",""
"Église Saint-Serge de Radonège","93 Rue de Crimée, 75019 Paris, France","generic","","","À essayer#Insolite",""
"Kissproof Belleville","50 Rue de Belleville, 75020 Paris, France","bar","","","À essayer#Restaurant",""
"La Timbale","2 Rue Versigny, 75018 Paris, France","restaurant","","","À essayer#Restaurant#Cafe",""
"Maison Aleph","20 Rue de la Verrerie, 75004 Paris, France","generic","","","À essayer#Glaces",""
"Plaka Paris","46 Rue Legendre, 75017 Paris, France","restaurant","Sandwich moussaka","","À essayer#Sandwich",""
"Plaka Paris","19 Rue des Martyrs, 75009 Paris, France","restaurant","Sandwich moussaka","","À essayer#Sandwich",""
"Café Mirabelle","16 Rue la Vacquerie, Paris","cafe","","","À essayer#Tranquilou",""
"DAME NATION le restaurant","2 Rue Guénot, 75011 Paris, France","restaurant","","","Restaurant",""
"Parque de Atracciones Monte Igueldo","Itsasargi Pasealekua, 134, 20008 Donostia, Gipuzkoa, Espagne","generic","","","À essayer#A voir",""
"Grande Cariatide","53 Rue de Turbigo, 75003 Paris, France","generic","Photo Agnès Varda","","À essayer#Insolite#A voir",""
"Le Basile","34 Rue de Grenelle, Paris","cafe","","","Cafe#Tranquilou",""
"Atelier Jules loebnitz","4 Rue de la Pierre Levée, Paris, France","generic","Compositions céramique du pavillon des beaux arts de l’expo Universelle de 1878","","À essayer#A voir#Monument",""
"Brutti E Cattivi","6 Rue du Surmelin, Paris","restaurant","","","À essayer#Restaurant#Tranquilou",""
"Les Petites Canailles","80 Rue Amelot, 75011 Paris, France","cafe","","","À essayer#Restaurant",""
"LAND & MONKEYS","86 Boulevard Beaumarchais, Paris 75011","restaurant","","","Boulangerie#Vegan",""
"Comptoir Club","56 Rue Amelot, Paris","restaurant","","","Cafe#Restaurant#Tranquilou",""
"brEAThe Restaurant | Sushi végétal 🥢","3 Rue Mandar, Paris","restaurant","","","À essayer#Restaurant",""
"LITTLE SUYA","10 Rue Mandar, Paris","restaurant","","","À essayer#Restaurant",""
"Ginsburger Vegetarian Superstar","13 Rue du Roi de Sicile, Paris","restaurant","","","Restaurant#Tranquilou#Cafe#Vegan",""
"Buvette - Cantine de l'Académie du Climat","2 Place Baudoyer, Paris","bar","","","Cafe#Tranquilou",""
"La Paleteria","4 Rue des Ecouffes, Paris","restaurant","","","À essayer#Glaces",""
"Nouilles Ban Ban 得闲嗦面","23 Rue des Petits Champs, Paris","restaurant","","","Restaurant",""
"Café Studio","4 Rue de Sambre-et-Meuse, 75010 Paris, France","restaurant","","","À essayer#Cafe#Tranquilou",""
"Popotes, Cantine Respectueuse Bonne Nouvelle 10eme","8 Rue du Faubourg Poissonnière, 75010 Paris, France","restaurant","","","À essayer#Grignotage#Tranquilou#Cafe",""
"Bar - Restaurant Musa Oberkampf - Paris 11","117 Rue Saint-Maur, Paris 75011","restaurant","","","À essayer#Restaurant#Chic",""
"Jolia","123 Rue du Chemin Vert, Paris","restaurant","","","À essayer#Restaurant#Chic",""
"Le jardin des Traverses (Tiers lieu / Fabrique de territoire)","Rue des Poissonniers, Paris, France","generic","","","À essayer#Bar#Parc & Nature",""
"Le Hasard Ludique","128 Avenue de Saint-Ouen, 75018 Paris, France","restaurant","","","À essayer#Bar#Restaurant#Parc & Nature",""
"Le TLM","105 Rue Curial, 75019 Paris, France","restaurant","","","À essayer#Bar#Parc & Nature",""
"Miliki","8 Rue Levert, Paris","cafe","","","À essayer#Restaurant#Tranquilou",""
"Le Petit Bonheur - la cantine des Lilas","184 Rue de Paris, 93260 Les Lilas, France","restaurant","","","À essayer#Bar#Cafe#Restaurant",""
"LES ARCHES CITOYENNES","3 Place de l'Hôtel de Ville, Paris","generic","","","À essayer#Bar#Tranquilou",""
"Banoi","51 Rue des Vinaigriers, 75010 Paris, France","restaurant","","","À essayer#Restaurant",""
"Bonjour Bichat - Restaurants, Bar et Events","29 Rue Bichat, 75010 Paris, France","restaurant","","","À essayer#Bar#Cafe#Restaurant",""
"Le Bichat","11 Rue Bichat, 75010 Paris, France","restaurant","","","Cafe#Restaurant#Grignotage",""
"Chez Betty","14 Avenue du Père Lachaise, 75020 Paris, France","restaurant","","","À essayer#Restaurant#Cafe",""
"Librairie le Comptoir des mots","239 Rue des Pyrénées, Paris","shopping","","","Librairie",""
"Buvette","16 Voie Georges Pompidou, 75004 Paris, France","bar","","","À essayer#Bar#Cafe",""
"FREZAL-FOURNITURES","Rue Camille Desmoulins, Paris, France","generic","","","À essayer#Mercerie",""
"Ace Boucherie & Traiteur","France, 58 Rue Sainte-Anne, 75002 Paris, France","restaurant","","","À essayer#Grignotage#Restaurant",""
"Armelle Crêperie - Saint Maur Paris 11","Rue Saint-Maur, Paris, France","restaurant","","","À essayer#Restaurant",""
"KUMA - Cadet","8 Rue Cadet, 75009 Paris, France","restaurant","","","À essayer#Restaurant",""
"Le Myrobolant","140 Rue Saint-Maur, Paris","restaurant","","","À essayer#Cafe#Bar",""
"Café Klin","6 Rue Deguerry, Paris","restaurant","","","À essayer#Cafe#Tranquilou",""
"Billy Mango","106 Quai de Jemmapes, Paris","restaurant","","","À essayer#Bar#Cafe#Restaurant",""
"Château de La Roche-Guyon","1 Rue de l'Audience, 95780 La Roche-Guyon, France","generic","","","À essayer#Monument",""
